"attribute","RI"
"V129",0.023452016
"V242",0.023028756
"V476",0.022862019
"V339",0.019510616
"V106",0.019424457
"V473",0.015186195
"V443",0.013914913
"V65",0.011949013
"V337",0.011083142
"V446",0.010026319
"V405",0.008843271
"V206",0.008829986
"V403",0.008713044
"V169",0.0086591
"V284",0.00857871
"V333",0.008549416
"V281",0.00851002
"V358",0.0084339725
"V8",0.0083269095
"V229",0.008325294
"V174",0.008297459
