,variable,Univariate_selection
0,49,1.7809524652566853
1,65,2.294534585824082
2,106,1.150312311801927
3,120,0.24573687560721927
4,129,1.1896375875433396
5,137,0.2466018791498893
6,205,0.2576470556236668
7,242,5.149599255095957
8,283,0.2469882582743631
9,297,0.27408352989125073
10,324,0.31720060851198517
11,337,2.5777361213590275
12,339,1.5268800546844292
13,379,1.9301625068056256
14,412,0.32915993720760806
15,425,0.2754250075445397
16,443,1.4595377238644758
17,454,0.8175865080451266
18,473,1.3575730186917498
19,476,6.317651286593115
20,494,1.016101550159003
